Close,Date,High,Low,Open,Volume
1.55853,2015-01-01T22:00:00.000000000Z,1.55873,1.55816,1.55825,62
1.55794,2015-01-01T22:30:00.000000000Z,1.55849,1.55737,1.55849,126
1.55704,2015-01-01T23:00:00.000000000Z,1.55836,1.55695,1.558,803
1.55796,2015-01-01T23:30:00.000000000Z,1.55817,1.55692,1.557,495
1.55745,2015-01-02T00:00:00.000000000Z,1.55828,1.55745,1.55792,126
1.55638,2015-01-02T00:30:00.000000000Z,1.55774,1.55627,1.55741,188
1.55516,2015-01-02T01:00:00.000000000Z,1.55681,1.5551,1.55641,294
1.55533,2015-01-02T01:30:00.000000000Z,1.55563,1.55428,1.55513,295
1.55502,2015-01-02T02:00:00.000000000Z,1.55561,1.55417,1.55537,241
1.55458,2015-01-02T02:30:00.000000000Z,1.55507,1.55448,1.55499,151
1.55443,2015-01-02T03:00:00.000000000Z,1.55462,1.55425,1.55454,95
1.55552,2015-01-02T03:30:00.000000000Z,1.55572,1.55434,1.55439,235
1.55532,2015-01-02T04:00:00.000000000Z,1.55574,1.55532,1.55556,99
1.55446,2015-01-02T04:30:00.000000000Z,1.55529,1.55419,1.55529,164
1.55436,2015-01-02T05:00:00.000000000Z,1.55449,1.55414,1.55443,81
1.55473,2015-01-02T05:30:00.000000000Z,1.55477,1.55438,1.55439,51
1.55479,2015-01-02T06:00:00.000000000Z,1.55511,1.55449,1.5547,126
1.55449,2015-01-02T06:30:00.000000000Z,1.55476,1.55417,1.55476,65
1.55401,2015-01-02T07:00:00.000000000Z,1.55451,1.55381,1.55445,270
1.55394,2015-01-02T07:30:00.000000000Z,1.55473,1.55357,1.55404,465
1.55414,2015-01-02T08:00:00.000000000Z,1.55479,1.55364,1.55398,654
1.55307,2015-01-02T08:30:00.000000000Z,1.55429,1.55158,1.55418,874
1.55162,2015-01-02T09:00:00.000000000Z,1.55375,1.55069,1.5531,739
1.54798,2015-01-02T09:30:00.000000000Z,1.55162,1.54766,1.55159,1319
1.5452,2015-01-02T10:00:00.000000000Z,1.54805,1.54458,1.54794,932
1.54449,2015-01-02T10:30:00.000000000Z,1.54578,1.54401,1.54517,455
1.54338,2015-01-02T11:00:00.000000000Z,1.54536,1.5433,1.54446,565
1.54389,2015-01-02T11:30:00.000000000Z,1.54408,1.54274,1.54334,500
1.54185,2015-01-02T12:00:00.000000000Z,1.5443,1.54133,1.54385,674
1.54264,2015-01-02T12:30:00.000000000Z,1.54287,1.54126,1.54182,418
1.54163,2015-01-02T13:00:00.000000000Z,1.54396,1.54137,1.54261,652
1.5417,2015-01-02T13:30:00.000000000Z,1.54206,1.5414,1.54167,319
1.54034,2015-01-02T14:00:00.000000000Z,1.54198,1.54024,1.54166,419
1.53964,2015-01-02T14:30:00.000000000Z,1.54101,1.53894,1.54038,660
1.54016,2015-01-02T15:00:00.000000000Z,1.54106,1.53866,1.53967,1084
1.53882,2015-01-02T15:30:00.000000000Z,1.54056,1.53878,1.54012,780
1.53715,2015-01-02T16:00:00.000000000Z,1.53916,1.53684,1.53885,786
1.53606,2015-01-02T16:30:00.000000000Z,1.5378,1.53566,1.53718,700
1.5361,2015-01-02T17:00:00.000000000Z,1.53638,1.5354,1.53603,444
1.53589,2015-01-02T17:30:00.000000000Z,1.53614,1.53529,1.53607,230
1.5354,2015-01-02T18:00:00.000000000Z,1.53585,1.53525,1.53585,140
1.5353,2015-01-02T18:30:00.000000000Z,1.53576,1.53523,1.53544,173
1.53421,2015-01-02T19:00:00.000000000Z,1.53554,1.53403,1.53533,173
1.53356,2015-01-02T19:30:00.000000000Z,1.5347,1.53309,1.53418,379
1.53316,2015-01-02T20:00:00.000000000Z,1.53374,1.53278,1.5336,241
1.53336,2015-01-02T20:30:00.000000000Z,1.5341,1.53312,1.53313,225
1.53344,2015-01-02T21:00:00.000000000Z,1.5335,1.53326,1.53333,70
1.53278,2015-01-02T21:30:00.000000000Z,1.5334,1.53272,1.5334,113
1.52593,2015-01-04T22:00:00.000000000Z,1.53103,1.51632,1.53045,1584
1.52716,2015-01-04T22:30:00.000000000Z,1.52755,1.52441,1.52585,428
1.52692,2015-01-04T23:00:00.000000000Z,1.52882,1.52627,1.52721,564
1.52846,2015-01-04T23:30:00.000000000Z,1.52994,1.52696,1.52696,499
1.53069,2015-01-05T00:00:00.000000000Z,1.53102,1.52849,1.52849,440
1.53096,2015-01-05T00:30:00.000000000Z,1.53198,1.53042,1.53072,489
1.53149,2015-01-05T01:00:00.000000000Z,1.5319,1.53025,1.53092,200
1.53029,2015-01-05T01:30:00.000000000Z,1.53145,1.52982,1.53145,163
1.53025,2015-01-05T02:00:00.000000000Z,1.53042,1.53004,1.53032,57
1.52909,2015-01-05T02:30:00.000000000Z,1.53043,1.52909,1.53028,129
1.52873,2015-01-05T03:00:00.000000000Z,1.52912,1.52846,1.52906,132
1.52889,2015-01-05T03:30:00.000000000Z,1.52954,1.52852,1.52869,163
1.52875,2015-01-05T04:00:00.000000000Z,1.52904,1.52845,1.52886,150
1.5287,2015-01-05T04:30:00.000000000Z,1.5292,1.52846,1.52872,107
1.52852,2015-01-05T05:00:00.000000000Z,1.52909,1.52846,1.52867,113
1.52863,2015-01-05T05:30:00.000000000Z,1.52866,1.52778,1.52849,121
1.52752,2015-01-05T06:00:00.000000000Z,1.52872,1.52745,1.5286,178
1.52823,2015-01-05T06:30:00.000000000Z,1.52823,1.52735,1.52749,144
1.52945,2015-01-05T07:00:00.000000000Z,1.52996,1.52798,1.52826,385
1.52904,2015-01-05T07:30:00.000000000Z,1.52974,1.52876,1.52941,473
1.53116,2015-01-05T08:00:00.000000000Z,1.53194,1.52907,1.52907,842
1.53042,2015-01-05T08:30:00.000000000Z,1.5318,1.53004,1.53119,739
1.5312,2015-01-05T09:00:00.000000000Z,1.53138,1.52859,1.53039,862
1.53062,2015-01-05T09:30:00.000000000Z,1.53113,1.52948,1.53113,497
1.52857,2015-01-05T10:00:00.000000000Z,1.53074,1.52847,1.53065,624
1.52676,2015-01-05T10:30:00.000000000Z,1.52902,1.52668,1.52854,599
1.52562,2015-01-05T11:00:00.000000000Z,1.52724,1.52534,1.52679,534
1.5254,2015-01-05T11:30:00.000000000Z,1.52647,1.52492,1.52558,504
1.5235,2015-01-05T12:00:00.000000000Z,1.52543,1.52342,1.52536,734
1.52148,2015-01-05T12:30:00.000000000Z,1.52366,1.52052,1.52346,932
1.5231,2015-01-05T13:00:00.000000000Z,1.52318,1.52058,1.52144,794
1.5208,2015-01-05T13:30:00.000000000Z,1.52372,1.52065,1.52314,646
1.52098,2015-01-05T14:00:00.000000000Z,1.52182,1.52033,1.52084,692
1.52313,2015-01-05T14:30:00.000000000Z,1.52344,1.52084,1.52094,677
1.52325,2015-01-05T15:00:00.000000000Z,1.52466,1.52269,1.52317,636
1.52396,2015-01-05T15:30:00.000000000Z,1.52411,1.52197,1.5232,579
1.52357,2015-01-05T16:00:00.000000000Z,1.5244,1.52347,1.52391,499
1.52335,2015-01-05T16:30:00.000000000Z,1.52368,1.52295,1.52362,339
1.52387,2015-01-05T17:00:00.000000000Z,1.52387,1.52298,1.5234,188
1.52263,2015-01-05T17:30:00.000000000Z,1.5241,1.52249,1.52382,268
1.52429,2015-01-05T18:00:00.000000000Z,1.52452,1.52216,1.52269,316
1.5249,2015-01-05T18:30:00.000000000Z,1.52494,1.52392,1.52425,250
1.52558,2015-01-05T19:00:00.000000000Z,1.52608,1.52448,1.52486,220
1.52545,2015-01-05T19:30:00.000000000Z,1.52589,1.52523,1.52564,135
1.52663,2015-01-05T20:00:00.000000000Z,1.52672,1.52518,1.5254,160
1.52532,2015-01-05T20:30:00.000000000Z,1.52707,1.52525,1.52658,195
1.52537,2015-01-05T21:00:00.000000000Z,1.52602,1.52509,1.52537,79
1.52506,2015-01-05T21:30:00.000000000Z,1.52549,1.52482,1.52532,309
1.52502,2015-01-05T22:00:00.000000000Z,1.52531,1.5248,1.52521,199
1.52521,2015-01-05T22:30:00.000000000Z,1.5255,1.52472,1.52509,388
1.52572,2015-01-05T23:00:00.000000000Z,1.52572,1.52506,1.5252,155
1.52574,2015-01-05T23:30:00.000000000Z,1.52616,1.52557,1.52568,42
1.52587,2015-01-06T00:00:00.000000000Z,1.52592,1.52546,1.5257,43
1.52654,2015-01-06T00:30:00.000000000Z,1.52654,1.5258,1.52588,121
1.52599,2015-01-06T01:00:00.000000000Z,1.5266,1.52599,1.5265,107
1.52607,2015-01-06T01:30:00.000000000Z,1.52614,1.5257,1.526,81
1.52639,2015-01-06T02:00:00.000000000Z,1.5266,1.52598,1.52602,64
1.52631,2015-01-06T02:30:00.000000000Z,1.5274,1.52631,1.52643,110
1.5263,2015-01-06T03:00:00.000000000Z,1.52663,1.52608,1.52636,51
1.52597,2015-01-06T03:30:00.000000000Z,1.5264,1.5257,1.52631,77
1.52596,2015-01-06T04:00:00.000000000Z,1.52617,1.52571,1.52602,82
1.5259,2015-01-06T04:30:00.000000000Z,1.52614,1.52587,1.52598,45
1.52604,2015-01-06T05:00:00.000000000Z,1.52609,1.52575,1.52592,40
1.52613,2015-01-06T05:30:00.000000000Z,1.52618,1.52575,1.52602,114
1.52609,2015-01-06T06:00:00.000000000Z,1.52648,1.52559,1.52614,138
1.52606,2015-01-06T06:30:00.000000000Z,1.5271,1.52598,1.52613,179
1.52515,2015-01-06T07:00:00.000000000Z,1.52602,1.525,1.52602,187
1.52314,2015-01-06T07:30:00.000000000Z,1.52594,1.52302,1.5252,386
1.52203,2015-01-06T08:00:00.000000000Z,1.52336,1.52148,1.5231,555
1.52434,2015-01-06T08:30:00.000000000Z,1.52483,1.52166,1.52208,706
1.52209,2015-01-06T09:00:00.000000000Z,1.5247,1.52133,1.52438,869
1.52024,2015-01-06T09:30:00.000000000Z,1.52211,1.51883,1.52209,1400
1.5188,2015-01-06T10:00:00.000000000Z,1.52041,1.51766,1.52026,663
1.51872,2015-01-06T10:30:00.000000000Z,1.51957,1.51828,1.51876,431
1.5191,2015-01-06T11:00:00.000000000Z,1.52068,1.51842,1.51867,503
1.51927,2015-01-06T11:30:00.000000000Z,1.52025,1.51887,1.51914,394
